section_id	section_title	paper_id	why
3.1	Agent loop and action spaces	P0170	Matches subsection 'Agent loop and action spaces' via shared terms (action, agent, action) in the paper title/abstract.
3.1	Agent loop and action spaces	P0138	Matches subsection 'Agent loop and action spaces' via shared terms (agent, agent, appear) in the paper title/abstract.
3.1	Agent loop and action spaces	P0011	Matches subsection 'Agent loop and action spaces' via shared terms (loop, action, agent) in the paper title/abstract.
3.1	Agent loop and action spaces	P0019	Matches subsection 'Agent loop and action spaces' via shared terms (agent, agent, benchmarks) in the paper title/abstract.
3.1	Agent loop and action spaces	P0093	Matches subsection 'Agent loop and action spaces' via shared terms (agent, agent, benchmarks) in the paper title/abstract.
3.1	Agent loop and action spaces	P0125	Matches subsection 'Agent loop and action spaces' via shared terms (agent, act, agent) in the paper title/abstract.
3.1	Agent loop and action spaces	P0024	Matches subsection 'Agent loop and action spaces' via shared terms (agent, agent, benchmarks) in the paper title/abstract.
3.1	Agent loop and action spaces	P0030	Matches subsection 'Agent loop and action spaces' via shared terms (agent, agent, compute) in the paper title/abstract.
3.1	Agent loop and action spaces	P0156	Matches subsection 'Agent loop and action spaces' via shared terms (agent, agent, architecture) in the paper title/abstract.
3.1	Agent loop and action spaces	P0159	Matches subsection 'Agent loop and action spaces' via shared terms (agent, agent, architecture) in the paper title/abstract.
3.1	Agent loop and action spaces	P0166	Matches subsection 'Agent loop and action spaces' via shared terms (agent, agent, data) in the paper title/abstract.
3.1	Agent loop and action spaces	P0182	Matches subsection 'Agent loop and action spaces' via shared terms (agent, agent, benchmarks) in the paper title/abstract.
3.1	Agent loop and action spaces	P0055	Matches subsection 'Agent loop and action spaces' via shared terms (agent, agent, benchmarks) in the paper title/abstract.
3.1	Agent loop and action spaces	P0059	Matches subsection 'Agent loop and action spaces' via shared terms (agent, agent, data) in the paper title/abstract.
3.1	Agent loop and action spaces	P0027	Matches subsection 'Agent loop and action spaces' via shared terms (agent, agent, design) in the paper title/abstract.
3.1	Agent loop and action spaces	P0074	Matches subsection 'Agent loop and action spaces' via shared terms (agent, agent, architecture) in the paper title/abstract.
3.1	Agent loop and action spaces	P0090	Matches subsection 'Agent loop and action spaces' via shared terms (agent, agent, efficiency) in the paper title/abstract.
3.1	Agent loop and action spaces	P0001	Matches subsection 'Agent loop and action spaces' via shared terms (action, benchmarks, human) in the paper title/abstract.
3.2	Tool interfaces and orchestration	P0028	Matches subsection 'Tool interfaces and orchestration' via shared terms (orchestration, tool, benchmarks) in the paper title/abstract.
3.2	Tool interfaces and orchestration	P0070	Matches subsection 'Tool interfaces and orchestration' via shared terms (tool, design, efficiency) in the paper title/abstract.
3.2	Tool interfaces and orchestration	P0029	Matches subsection 'Tool interfaces and orchestration' via shared terms (tool, calling, efficiency) in the paper title/abstract.
3.2	Tool interfaces and orchestration	P0042	Matches subsection 'Tool interfaces and orchestration' via shared terms (tool, calling, data) in the paper title/abstract.
3.2	Tool interfaces and orchestration	P0050	Matches subsection 'Tool interfaces and orchestration' via shared terms (tool, apis, benchmarks) in the paper title/abstract.
3.2	Tool interfaces and orchestration	P0108	Matches subsection 'Tool interfaces and orchestration' via shared terms (apis, calling, datasets) in the paper title/abstract.
3.2	Tool interfaces and orchestration	P0088	Matches subsection 'Tool interfaces and orchestration' via shared terms (tool, evaluation, identify) in the paper title/abstract.
3.2	Tool interfaces and orchestration	P0093	Matches subsection 'Tool interfaces and orchestration' via shared terms (tool, benchmarks, design) in the paper title/abstract. (also mapped 1× already)
3.2	Tool interfaces and orchestration	P0129	Matches subsection 'Tool interfaces and orchestration' via shared terms (tool, evidence, tool) in the paper title/abstract.
3.2	Tool interfaces and orchestration	P0035	Matches subsection 'Tool interfaces and orchestration' via shared terms (benchmarks, data, evaluation) in the paper title/abstract.
3.2	Tool interfaces and orchestration	P0164	Matches subsection 'Tool interfaces and orchestration' via shared terms (benchmarks, data, datasets) in the paper title/abstract.
3.2	Tool interfaces and orchestration	P0220	Matches subsection 'Tool interfaces and orchestration' via shared terms (tool, benchmarks, selection) in the paper title/abstract.
3.2	Tool interfaces and orchestration	P0009	Matches subsection 'Tool interfaces and orchestration' via shared terms (architecture, choices, data) in the paper title/abstract.
3.2	Tool interfaces and orchestration	P0117	Matches subsection 'Tool interfaces and orchestration' via shared terms (tool, design, limitations) in the paper title/abstract.
3.2	Tool interfaces and orchestration	P0090	Matches subsection 'Tool interfaces and orchestration' via shared terms (tool, efficiency, evaluation) in the paper title/abstract. (also mapped 1× already)
3.2	Tool interfaces and orchestration	P0061	Matches subsection 'Tool interfaces and orchestration' via shared terms (data, datasets, design) in the paper title/abstract.
3.2	Tool interfaces and orchestration	P0091	Matches subsection 'Tool interfaces and orchestration' via shared terms (tool, design, explicit) in the paper title/abstract.
3.2	Tool interfaces and orchestration	P0001	Matches subsection 'Tool interfaces and orchestration' via shared terms (benchmarks, human) in the paper title/abstract. (also mapped 1× already)
4.1	Planning and reasoning loops	P0013	Matches subsection 'Planning and reasoning loops' via shared terms (planning, efficiency, how) in the paper title/abstract.
4.1	Planning and reasoning loops	P0039	Matches subsection 'Planning and reasoning loops' via shared terms (planning, reasoning, evaluation) in the paper title/abstract.
4.1	Planning and reasoning loops	P0021	Matches subsection 'Planning and reasoning loops' via shared terms (planning, benchmarks, efficiency) in the paper title/abstract.
4.1	Planning and reasoning loops	P0011	Matches subsection 'Planning and reasoning loops' via shared terms (reasoning, architecture, calls) in the paper title/abstract. (also mapped 1× already)
4.1	Planning and reasoning loops	P0008	Matches subsection 'Planning and reasoning loops' via shared terms (reasoning, components, explicit) in the paper title/abstract.
4.1	Planning and reasoning loops	P0034	Matches subsection 'Planning and reasoning loops' via shared terms (reasoning, explicit, how) in the paper title/abstract.
4.1	Planning and reasoning loops	P0195	Matches subsection 'Planning and reasoning loops' via shared terms (planning, design, explicit) in the paper title/abstract.
4.1	Planning and reasoning loops	P0215	Matches subsection 'Planning and reasoning loops' via shared terms (planning, reasoning, datasets) in the paper title/abstract.
4.1	Planning and reasoning loops	P0079	Matches subsection 'Planning and reasoning loops' via shared terms (benchmarks, core, cover) in the paper title/abstract.
4.1	Planning and reasoning loops	P0152	Matches subsection 'Planning and reasoning loops' via shared terms (planning, mechanism, memory) in the paper title/abstract.
4.1	Planning and reasoning loops	P0184	Matches subsection 'Planning and reasoning loops' via shared terms (reasoning, core, design) in the paper title/abstract.
4.1	Planning and reasoning loops	P0116	Matches subsection 'Planning and reasoning loops' via shared terms (planning, architecture, components) in the paper title/abstract.
4.1	Planning and reasoning loops	P0060	Matches subsection 'Planning and reasoning loops' via shared terms (reasoning, architecture, benchmarks) in the paper title/abstract.
4.1	Planning and reasoning loops	P0077	Matches subsection 'Planning and reasoning loops' via shared terms (planning, efficiency, failures) in the paper title/abstract.
4.1	Planning and reasoning loops	P0084	Matches subsection 'Planning and reasoning loops' via shared terms (reasoning, anchors, efficiency) in the paper title/abstract.
4.1	Planning and reasoning loops	P0158	Matches subsection 'Planning and reasoning loops' via shared terms (reasoning, explicit, identify) in the paper title/abstract.
4.1	Planning and reasoning loops	P0212	Matches subsection 'Planning and reasoning loops' via shared terms (calls, evaluation, include) in the paper title/abstract.
4.1	Planning and reasoning loops	P0001	Matches subsection 'Planning and reasoning loops' via shared terms (reasoning, benchmarks, components) in the paper title/abstract. (also mapped 2× already)
4.2	Memory and retrieval (RAG)	P0079	Matches subsection 'Memory and retrieval (RAG)' via shared terms (memory, benchmarks, core) in the paper title/abstract. (also mapped 1× already)
